,dist,vel,acc,jerk,time
0,0.0,5.555555555555555,0.5,-0.3,0.0
1,0.2812148626351259,5.5804254667891025,0.48484848484848486,-0.3,0.050505050505050504
2,0.5636664574528057,5.604530149984695,0.4696969696969697,-0.3,0.10101010101010101
3,0.8473161365723348,5.627869605142332,0.45454545454545453,-0.3,0.15151515151515152
4,1.1321252521130085,5.650443832262014,0.4393939393939394,-0.3,0.20202020202020202
5,1.4180551561941217,5.67225283134374,0.42424242424242425,-0.3,0.25252525252525254
6,1.7050672009349694,5.693296602387512,0.40909090909090906,-0.3,0.30303030303030304
7,1.9931227384548473,5.713575145393326,0.3939393939393939,-0.3,0.35353535353535354
8,2.2821831208730505,5.733088460361188,0.3787878787878788,-0.3,0.40404040404040403
9,2.5722097003088735,5.751836547291092,0.36363636363636365,-0.3,0.45454545454545453
10,2.863163828881613,5.769819406183043,0.3484848484848485,-0.3,0.5050505050505051
11,3.1550068587105624,5.787037037037036,0.33333333333333337,-0.3,0.5555555555555556
12,3.4477001419150177,5.803489439853076,0.3181818181818182,-0.3,0.6060606060606061
13,3.741205030614275,5.819176614631161,0.30303030303030304,-0.3,0.6565656565656566
14,4.035482876927627,5.834098561371289,0.28787878787878785,-0.3,0.7070707070707071
15,4.330495032974372,5.848255280073462,0.2727272727272727,-0.3,0.7575757575757576
16,4.626202850873803,5.861646770737679,0.25757575757575757,-0.3,0.8080808080808081
17,4.922567682745215,5.874273033363942,0.24242424242424243,-0.3,0.8585858585858586
18,5.219550880707905,5.886134067952249,0.2272727272727273,-0.3,0.9090909090909091
19,5.517113796881167,5.897229874502602,0.21212121212121215,-0.3,0.9595959595959596
20,5.8152177833842975,5.907560453014998,0.19696969696969696,-0.3,1.0101010101010102
21,6.113824192336589,5.91712580348944,0.18181818181818182,-0.3,1.0606060606060606
22,6.412894375857339,5.925925925925926,0.16666666666666669,-0.3,1.1111111111111112
23,6.7123896860658405,5.933960820324456,0.15151515151515155,-0.3,1.1616161616161615
24,7.012271475081392,5.941230486685033,0.13636363636363635,-0.3,1.2121212121212122
25,7.312501095023285,5.947734925007652,0.12121212121212127,-0.3,1.2626262626262625
26,7.613039898010819,5.953474135292317,0.10606060606060608,-0.3,1.3131313131313131
27,7.913849236163285,5.958448117539026,0.09090909090909094,-0.3,1.3636363636363635
28,8.21489046159998,5.962656871747781,0.07575757575757575,-0.3,1.4141414141414141
29,8.5161249264402,5.966100397918579,0.06060606060606066,-0.3,1.4646464646464645
30,8.817513982803238,5.968778696051423,0.04545454545454547,-0.3,1.5151515151515151
31,9.119018982808392,5.970691766146311,0.030303030303030387,-0.3,1.5656565656565655
32,9.420601278574955,5.971839608203244,0.015151515151515194,-0.3,1.6161616161616161
33,9.722222222222223,5.972222222222221,0.0,-0.3,1.6666666666666667
34,10.023843165869488,5.971839608203244,-0.015151515151515138,-0.3,1.7171717171717171
35,10.325425461636055,5.970691766146311,-0.030303030303030276,-0.3,1.7676767676767677
36,10.626930461641205,5.968778696051423,-0.045454545454545414,-0.3,1.8181818181818181
37,10.928319518004244,5.96610039791858,-0.06060606060606055,-0.3,1.8686868686868687
38,11.229553982844463,5.962656871747781,-0.07575757575757569,-0.3,1.9191919191919191
39,11.53059520828116,5.958448117539026,-0.09090909090909094,-0.3,1.9696969696969697
40,11.831404546433625,5.953474135292317,-0.10606060606060608,-0.3,2.0202020202020203
41,12.131943349421157,5.947734925007652,-0.1212121212121211,-0.3,2.0707070707070705
42,12.43217296936305,5.941230486685032,-0.13636363636363635,-0.3,2.121212121212121
43,12.732054758378602,5.933960820324456,-0.1515151515151515,-0.3,2.1717171717171717
44,13.031550068587105,5.925925925925926,-0.16666666666666663,-0.3,2.2222222222222223
45,13.330620252107853,5.91712580348944,-0.18181818181818177,-0.3,2.2727272727272725
46,13.629226661060144,5.907560453014998,-0.1969696969696969,-0.3,2.323232323232323
47,13.927330647563275,5.897229874502601,-0.21212121212121204,-0.3,2.3737373737373737
48,14.224893563736538,5.886134067952249,-0.2272727272727273,-0.3,2.4242424242424243
49,14.521876761699229,5.8742730333639415,-0.24242424242424243,-0.3,2.474747474747475
50,14.81824159357064,5.86164677073768,-0.25757575757575746,-0.3,2.525252525252525
51,15.113949411470072,5.848255280073462,-0.2727272727272727,-0.3,2.5757575757575757
52,15.408961567516817,5.834098561371288,-0.28787878787878785,-0.3,2.6262626262626263
53,15.70323941383017,5.81917661463116,-0.3030303030303031,-0.3,2.676767676767677
54,15.996744302529427,5.803489439853076,-0.3181818181818181,-0.3,2.727272727272727
55,16.289437585733882,5.787037037037037,-0.33333333333333326,-0.3,2.7777777777777777
56,16.581280615562832,5.769819406183043,-0.3484848484848485,-0.3,2.8282828282828283
57,16.87223474413557,5.751836547291092,-0.36363636363636365,-0.3,2.878787878787879
58,17.162261323571393,5.733088460361188,-0.3787878787878787,-0.3,2.929292929292929
59,17.451321705989596,5.713575145393326,-0.3939393939393939,-0.3,2.9797979797979797
60,17.739377243509473,5.693296602387512,-0.40909090909090906,-0.3,3.0303030303030303
61,18.026389288250325,5.672252831343741,-0.4242424242424242,-0.3,3.080808080808081
62,18.312319192331433,5.650443832262014,-0.4393939393939392,-0.3,3.131313131313131
63,18.597128307872108,5.627869605142332,-0.4545454545454545,-0.3,3.1818181818181817
64,18.88077798699164,5.604530149984695,-0.4696969696969696,-0.3,3.2323232323232323
65,19.16322958180932,5.580425466789103,-0.48484848484848486,-0.3,3.282828282828283
66,19.444444444444446,5.555555555555555,-0.5,-0.3,3.3333333333333335
