%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1576563414901424000,55,1576563414901424000,base_link,0.163811487574,0.0,0.0,8.24619082802e-05,-0.000229867351819,0.00536473578632
1576563415001575000,56,1576563415001575000,base_link,0.339720812478,0.0,0.0,-0.000716606992099,0.00148063335389,-0.00217487920482
1576563415101817000,57,1576563415101817000,base_link,0.277966875817,0.0,0.0,-0.000221988506466,-0.00172741312006,0.00118705531744
1576563415201980000,58,1576563415201980000,base_link,0.219604318402,0.0,0.0,0.000690039151638,-2.42104715882e-05,-0.00269187254185
1576563415302192000,59,1576563415302192000,base_link,0.217400765357,0.0,0.0,0.000147609386642,0.000801074953693,0.00187796264761
1576563415402377000,60,1576563415402377000,base_link,0.220117491062,0.0,0.0,-0.000481803713118,3.29658730358e-05,-3.85486393362e-05
1576563415502587000,61,1576563415502587000,base_link,0.0919265758501,0.0,0.0,0.00168911493734,0.00128207146292,0.00116162624072
1576563415602784000,62,1576563415602784000,base_link,0.184109840811,0.0,0.0,-0.000578738948515,-0.00119979180326,-0.00055227485129
1576563415703002000,63,1576563415703002000,base_link,0.116387565595,0.0,0.0,-3.09059758946e-05,0.00013840309735,0.00101142255048
1576563415803157000,64,1576563415803157000,base_link,0.14568245648,0.0,0.0,-0.00070727194446,0.000381177301574,-0.00195209764897
1576563415903382000,65,1576563415903382000,base_link,0.132160919462,0.0,0.0,0.000277634191663,-0.00156098198028,0.00127267769621
1576563416003569000,66,1576563416003569000,base_link,0.0580352581986,0.0,0.0,-0.000209450661609,0.00131061782644,-0.00192174070063
1576563416103754000,67,1576563416103754000,base_link,0.0418223773225,0.0,0.0,4.02035423544e-05,0.000259541554432,-0.000287853941906
1576563416203923000,68,1576563416203923000,base_link,0.251498943654,0.0,0.0,-0.000352210629748,-0.00168223666227,0.00410196683039
1576563416304147000,69,1576563416304147000,base_link,0.221194490754,0.0,0.0,0.000231301019929,0.00105209408134,-0.00394938264357
1576563416404322000,70,1576563416404322000,base_link,0.109175571627,0.0,0.0,-0.000560478339199,-0.00157738549769,0.000380830091579
1576563416504553000,71,1576563416504553000,base_link,0.178155196479,0.0,0.0,0.000824623381517,0.00119405744365,0.00239085290018
1576563416604736000,72,1576563416604736000,base_link,0.221026735482,0.0,0.0,-0.000494982319285,-0.00113077281901,-0.00244182254069
1576563416704951000,73,1576563416704951000,base_link,0.150292357284,0.0,0.0,-0.000172296795369,0.00151903284654,0.00488383941093
1576563416805095000,74,1576563416805095000,base_link,0.221058000775,0.0,0.0,0.00109270144245,0.000229462654149,-0.00317595780711
1576563416905299000,75,1576563416905299000,base_link,0.08894705938,0.0,0.0,-0.00147310461317,0.000137084396929,-0.00230292627184
1576563417005523000,76,1576563417005523000,base_link,0.140127776245,0.0,0.0,-0.000224887405526,-0.0011526194477,0.000825171787084
1576563417105700000,77,1576563417105700000,base_link,0.0846881932053,0.0,0.0,0.000539070254714,0.000507519735983,0.00288871255478
1576563417205895000,78,1576563417205895000,base_link,0.0122742015182,0.0,0.0,-1.5951628606e-05,0.000256286549965,0.000302790657567
1576563417306087000,79,1576563417306087000,base_link,0.23651158062,0.0,0.0,0.00116945384454,0.000268629427944,-0.000333809769022
1576563417406278000,80,1576563417406278000,base_link,0.136433342395,0.0,0.0,0.000342109276446,0.00093345582207,-0.00442926253001
1576563417506484000,81,1576563417506484000,base_link,0.20712470656,0.0,0.0,-0.00140839784583,-0.00100070937243,0.00224957692897
1576563417606684000,82,1576563417606684000,base_link,0.197134134264,0.0,0.0,0.000216045141602,-0.000621486433963,-0.00214095936244
1576563417706907000,83,1576563417706907000,base_link,0.21021563459,0.0,0.0,0.00105153885016,-0.000237134826633,0.00432027164527
1576563417807065000,84,1576563417807065000,base_link,0.069261585317,0.0,0.0,-0.00087633247407,0.00119609813076,-0.00135922125652
1576563417907264000,85,1576563417907264000,base_link,0.261197786407,0.0,0.0,-5.25438273194e-05,-0.00115281940359,-0.00255241239038
1576563418007447000,86,1576563418007447000,base_link,0.214528578345,0.0,0.0,-0.000625403631834,0.000342960762958,0.00567470144928
1576563418107676000,87,1576563418107676000,base_link,0.146403649987,0.0,0.0,-0.000189038621018,-0.000805171786689,-0.0049195248831
1576563418207855000,88,1576563418207855000,base_link,0.249722913289,0.0,0.0,0.000596810004625,0.000869869550373,0.00129266983657
1576563418308050000,89,1576563418308050000,base_link,0.0259949857471,0.0,0.0,0.000110808974085,-0.000761615889203,0.000328875640451
1576563418408287000,90,1576563418408287000,base_link,0.113190212124,0.0,0.0,-0.0011916602871,0.00070500004667,-0.00200849002172
1576563418508446000,91,1576563418508446000,base_link,0.123573186767,0.0,0.0,0.000866001954429,-0.000766593955978,-0.0003423645813
1576563418608634000,92,1576563418608634000,base_link,0.184030518092,0.0,0.0,0.000251353375671,0.000238020962037,0.00457405415344
1576563418708867000,93,1576563418708867000,base_link,0.258237046899,0.0,0.0,2.28419653362e-05,0.000572212759915,-0.00603743516591
1576563418809045000,94,1576563418809045000,base_link,0.234839242522,0.0,0.0,-8.83137905009e-05,0.000659262263256,0.00312774022554
1576563418909254000,95,1576563418909254000,base_link,0.107070636998,0.0,0.0,0.000100376822932,-0.00121617554876,-0.00314815031307
1576563419009397000,96,1576563419009397000,base_link,0.31199103303,0.0,0.0,0.000616729062573,0.00110087367097,0.00778731869441
1576563419109618000,97,1576563419109618000,base_link,0.426883531538,0.0,0.0,0.000715561286138,-0.000360899852357,-0.00240392177139
1576563419209833000,98,1576563419209833000,base_link,0.267446238512,0.0,0.0,-0.000702015684316,0.00052704929723,-0.00231137101737
1576563419309986000,99,1576563419309986000,base_link,0.109385454401,0.0,0.0,-0.00025029119549,-0.00043079312967,0.00514436092851
1576563419410233000,100,1576563419410233000,base_link,0.203105024622,0.0,0.0,0.000281813714064,1.19453216788e-05,-0.00155272584532
1576563419510411000,101,1576563419510411000,base_link,0.32905556283,0.0,0.0,-0.000858664765113,-0.000925888904914,-0.00698692593168
1576563419610631000,102,1576563419610631000,base_link,0.219667980552,0.0,0.0,0.000447650912482,0.000114139305682,0.00779018175442
1576563419710801000,103,1576563419710801000,base_link,0.248955812516,0.0,0.0,-0.000627230785478,0.00080120716841,-0.00282818758236
1576563419810977000,104,1576563419810977000,base_link,0.208375831873,0.0,0.0,-0.00167008983413,-0.00296321575204,-0.000482914404795
1576563419911262000,105,1576563419911262000,base_link,0.133985417411,0.0,0.0,0.00030206428884,-0.00650736039281,-0.000470540800781
1576563420011390000,106,1576563420011390000,base_link,0.109745090596,0.0,0.0,-0.00480084460439,-0.0149257857805,0.00258031009645
1576563420111584000,107,1576563420111584000,base_link,0.452698730257,0.0,0.0,-0.000422166234554,-0.016162941677,0.00219645270085
1576563420211786000,108,1576563420211786000,base_link,0.147606006885,0.0,0.0,0.00211932280148,-0.00403221119312,-0.0022282114609
1576563420311990000,109,1576563420311990000,base_link,0.524043201698,0.0,0.0,0.00301404895008,0.00304983763685,0.00746859799902
1576563420412209000,110,1576563420412209000,base_link,0.18200376118,0.0,0.0,0.00193492940012,-0.00445637071186,-0.00481462974852
1576563420512359000,111,1576563420512359000,base_link,0.570746980811,0.0,0.0,0.0023259120718,-0.0146795798618,0.0111948458069
1576563420612553000,112,1576563420612553000,base_link,0.341305206696,0.0,0.0,0.00443289514283,-0.0260079027174,-0.000260446385663
1576563420712746000,113,1576563420712746000,base_link,0.790494176446,0.0,0.0,-0.0020624723143,-0.0443120128615,0.00520233504015
1576563420812982000,114,1576563420812982000,base_link,0.71439004426,0.0,0.0,0.0046782719457,-0.0296962525528,0.0111106750464
1576563420913153000,115,1576563420913153000,base_link,1.01924803131,0.0,0.0,0.00413485326277,-0.0240901220306,0.0151529242018
1576563421013371000,116,1576563421013371000,base_link,1.2455191268,0.0,0.0,0.00734685410326,-0.0174084288971,0.0183075740765
1576563421113530000,117,1576563421113530000,base_link,1.79971122448,0.0,0.0,0.0053205576646,-0.020577414285,0.0272255936911
1576563421213733000,118,1576563421213733000,base_link,2.32932027859,0.0,0.0,0.00244647901699,-0.00775511336969,0.0326225870014
1576563421313960000,119,1576563421313960000,base_link,1.95464899547,0.0,0.0,-0.00245312413144,-0.00773999226972,0.0150619371453
1576563421414164000,120,1576563421414164000,base_link,3.07952404873,0.0,0.0,0.001894429152,-0.00900625104588,0.0369833665893
1576563421514328000,121,1576563421514328000,base_link,2.98216766291,0.0,0.0,-0.00490173771812,-0.00645825991693,0.024552483548
1576563421614514000,122,1576563421614514000,base_link,3.76443907661,0.0,0.0,0.000413958923924,-0.00450764016885,0.0260027891874
1576563421714764000,123,1576563421714764000,base_link,3.69896916223,0.0,0.0,0.00156577979459,0.00307396372586,0.0150526612556
1576563421814926000,124,1576563421814926000,base_link,4.32263228712,0.0,0.0,0.00451847569566,-0.00374882467232,0.0227913163494
1576563421915137000,125,1576563421915137000,base_link,5.32485003136,0.0,0.0,-0.000278634922049,-0.0048889690879,0.0213582720242
1576563422015322000,126,1576563422015322000,base_link,5.06810250914,0.0,0.0,-0.00427274464881,-0.00220669563682,0.0153036841497
1576563422115509000,127,1576563422115509000,base_link,5.26521863404,0.0,0.0,-0.00852963384215,-0.00223837686035,0.0110539100991
1576563422215701000,128,1576563422215701000,base_link,5.80031542754,0.0,0.0,-0.0059290148292,-0.00283472474584,0.0115091652997
1576563422315881000,129,1576563422315881000,base_link,5.96917110365,0.0,0.0,-0.00016465331699,-0.0145214038551,0.0150539924469
1576563422416096000,130,1576563422416096000,base_link,7.0377791236,0.0,0.0,0.00441176201373,-0.00922480089454,-0.00982317017895
1576563422516303000,131,1576563422516303000,base_link,7.4226939812,0.0,0.0,0.00613608731213,0.00208068263183,0.00627240722122
1576563422616566000,132,1576563422616566000,base_link,7.19000703614,0.0,0.0,-0.0088854511427,-0.00685654254781,-0.00426807053347
1576563422716691000,133,1576563422716691000,base_link,7.90240272224,0.0,0.0,-0.00167064856326,0.00136585632997,0.000471831997298
1576563422816867000,134,1576563422816867000,base_link,8.45656967046,0.0,0.0,0.00238176541005,0.0107799386879,-0.00789702624462
1576563422917081000,135,1576563422917081000,base_link,8.79549600154,0.0,0.0,-0.001768433855,0.00683738178469,0.00859324135175
1576563423017277000,136,1576563423017277000,base_link,8.63722023668,0.0,0.0,0.00481915187984,0.000568883917975,0.000789952691689
