%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1576563410792030056,367726,1576563410792030056,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410825184298,367727,1576563410825184298,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410857353268,367728,1576563410857353268,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410891406637,367729,1576563410891406637,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410926168901,367730,1576563410926168901,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410958900381,367731,1576563410958900381,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410992954550,367732,1576563410992954550,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411026126183,367733,1576563411026126183,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411058349297,367734,1576563411058349297,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411093318048,367735,1576563411093318048,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411126794849,367736,1576563411126794849,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411159795475,367737,1576563411159795475,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411192816197,367738,1576563411192816197,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411227075397,367739,1576563411227075397,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411259264293,367740,1576563411259264293,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411293214608,367741,1576563411293214608,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411328218646,367742,1576563411328218646,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411359675425,367743,1576563411359675425,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411394815351,367744,1576563411394815351,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411427839836,367745,1576563411427839836,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411460190698,367746,1576563411460190698,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411494083668,367747,1576563411494083668,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411528578039,367748,1576563411528578039,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411560715348,367749,1576563411560715348,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411595611413,367750,1576563411595611413,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411628897809,367751,1576563411628897809,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411661072581,367752,1576563411661072581,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411695297661,367753,1576563411695297661,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411730133645,367754,1576563411730133645,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411761563398,367755,1576563411761563398,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411795530663,367756,1576563411795530663,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411829830607,367757,1576563411829830607,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411861983187,367758,1576563411861983187,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411895873204,367759,1576563411895873204,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411931222231,367760,1576563411931222231,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411962638452,367761,1576563411962638452,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411997411231,367762,1576563411997411231,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412030719431,367763,1576563412030719431,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412063363660,367764,1576563412063363660,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412098224282,367765,1576563412098224282,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412132188659,367766,1576563412132188659,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412163453954,367767,1576563412163453954,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412198473983,367768,1576563412198473983,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412232690846,367769,1576563412232690846,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412264219757,367770,1576563412264219757,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412300085064,367771,1576563412300085064,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412333191309,367772,1576563412333191309,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412365647074,367773,1576563412365647074,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412399757260,367774,1576563412399757260,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412433565162,367775,1576563412433565162,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412465195015,367776,1576563412465195015,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412500140726,367777,1576563412500140726,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412534098417,367778,1576563412534098417,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412566182165,367779,1576563412566182165,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412599587061,367780,1576563412599587061,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412634134609,367781,1576563412634134609,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412666716129,367782,1576563412666716129,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412700902710,367783,1576563412700902710,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
